taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.1	t0_16O	t3_16O	7325558.99826889	7452297.84089014	7325558.99826889	-42162120.1028704	56813238.0994082	122092.649971148	124204.964014836	122092.649971148	-702702.001714507	946887.301656803	12140700.7496706	12104351.0236896	12140700.7496706	6740576.09077156	17690351.8035627	13056395.6244542	13035888.2538009	13056395.6244542	9541961.29902201	15592430.2744996	none
sip3	T0.1	t0_16O	t3_16O	-23065245.6694818	-23281757.4158353	-23065245.6694818	-93457775.3000018	46319670.2157549	-384420.76115803	-388029.290263921	-384420.76115803	-1557629.58833336	771994.503595915	28675315.8918142	28650264.8376255	28675315.8918142	25181931.1583951	32923767.4677958	25792160.183129	25740045.1606461	25792160.183129	16993093.979314	31884662.56565	none
sip5	T0.1	t0_16O	t3_16O	13702024.9060537	13539853.0784625	13702024.9060537	-5228845.0565057	32632894.8686131	228367.081767562	225664.217974375	228367.081767562	-87147.4176084284	543881.581143552	4858241.96693983	4864886.18389407	4858241.96693983	3084363.61488623	6054004.74988955	6570995.08019654	6557367.81870188	6570995.08019654	4351408.00574496	7947473.44718202	none
sip7	T0.1	t0_16O	t3_16O	-94858444.5098615	-94831068.2828779	-94858444.5098615	-184943076.574045	-15496014.0004106	-1580974.07516436	-1580517.80471463	-1580974.07516436	-3082384.60956742	-258266.900006843	26419261.2994023	26399755.0573106	26419261.2994023	18684670.9280903	40158272.8924575	14561955.7356696	14545871.5219509	14561955.7356696	11515515.3362506	17324392.2278952	none
sip8	T0.1	t0_16O	t3_16O	-99801344.8779849	-99513992.5473055	-99801344.8779849	-397414788.503107	133669967.710775	-1663355.74796642	-1658566.54245509	-1663355.74796642	-6623579.80838512	2227832.79517959	67064029.9018611	67072485.5390155	67064029.9018611	39483756.2905805	107543919.191296	54588861.792113	54633236.4706023	54588861.792113	40073902.305878	62606628.1716583	none
sip9	T0.1	t0_16O	t3_16O	-1500758.48815225	-1639914.47253861	-1500758.48815225	-27035098.6761848	23058139.3099427	-25012.6414692042	-27331.9078756434	-25012.6414692042	-450584.977936413	384302.321832378	14586660.853749	14583159.7147026	14586660.853749	13783773.9956918	15380135.1426155	14399066.0427299	14378170.4056353	14399066.0427299	10936742.3577064	16666716.8379082	none
sip13	T0.1	t0_16O	t3_16O	185679158.989241	186749396.286125	185679158.989241	-23206562.9121789	386989313.847519	3094652.64982068	3112489.93810209	3094652.64982068	-386776.048536316	6449821.89745865	43842185.6334992	43829318.2794382	43842185.6334992	28800323.8381593	69952900.8711767	67052080.5071543	67172992.8152039	67052080.5071543	50028064.8704629	84366795.9092999	none
sip16	T0.1	t0_16O	t3_16O	161693782.675495	163418016.246614	161693782.675495	-90145951.2968686	393712782.5148	2694896.37792492	2723633.60411023	2694896.37792492	-1502432.52161448	6561879.70857999	48797984.3812955	48741686.1298623	48797984.3812955	29542777.8269286	79685038.2080836	69009707.2157325	69168938.160689	69009707.2157325	47698728.3768552	91996368.2353366	none
sip17	T0.1	t0_16O	t3_16O	3528665.64726171	3566265.87970425	3528665.64726171	-61979236.1974816	69090940.8766517	58811.0941210285	59437.7646617375	58811.0941210285	-1032987.26995803	1151515.68127753	18022866.0425362	17995840.8530447	18022866.0425362	11984872.9628971	23692050.7736988	18463949.2484439	18441624.0880077	18463949.2484439	14066018.521293	22750044.3754363	none
sip18	T0.1	t0_16O	t3_16O	-71699472.0160925	-71675701.5683517	-71699472.0160925	-200289174.367345	56890230.3351598	-1194991.20026821	-1194595.0261392	-1194991.20026821	-3338152.90612241	948170.505585997	41435987.6478842	41361084.8876985	41435987.6478842	25972360.1922481	53516597.4415659	32473553.6458726	32401622.1916546	32473553.6458726	20897509.2270654	39365854.0233399	none
