taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.13	t0_16O	t168_16O	4256840.1549622	4292714.98411529	4256840.1549622	1475175.2432515	8636303.67273281	70947.3359160367	71545.2497352549	70947.3359160367	24586.2540541917	143938.394545547	12140700.7496706	12104351.0236896	12140700.7496706	6740576.09077156	17690351.8035627	41938581.834406	42153355.9124967	41938581.834406	22500326.3879066	74494552.2750953	none
sip3	T0.13	t0_16O	t168_16O	-1012386.92444187	-1000708.09602185	-1012386.92444187	-2162055.35566198	137281.506778229	-16873.1154073646	-16678.4682670308	-16873.1154073646	-36034.2559276996	2288.02511297048	28675315.8918142	28650264.8376255	28675315.8918142	25181931.1583951	32923767.4677958	21588607.4207211	21645308.1654725	21588607.4207211	13247315.4755334	29648516.2217548	none
sip4	T0.13	t0_16O	t168_16O	1966054.7667951	1975517.31324843	1966054.7667951	1042288.39883656	3485564.13066669	32767.579446585	32925.2885541404	32767.579446585	17371.4733139427	58092.7355111116	338506.102551221	342229.669679285	338506.102551221	0	1015518.30765366	14100889.4701169	14170850.8624183	14100889.4701169	8177062.91166705	25067498.4672055	Warning: no occurrences in rep rB_t0_16O & rC_t0_16O (t0_16O)
sip7	T0.13	t0_16O	t168_16O	-442742.982084437	-417978.437596977	-442742.982084437	-3193424.14962839	2833578.48983743	-7379.04970140729	-6966.30729328295	-7379.04970140729	-53223.7358271399	47226.3081639572	26419261.2994023	26399755.0573106	26419261.2994023	18684670.9280903	40158272.8924575	23320060.4248112	23473905.9941318	23320060.4248112	10540331.2240647	46831033.7781205	none
sip8	T0.13	t0_16O	t168_16O	-2871973.88360592	-2839981.54983085	-2871973.88360592	-9057269.61208728	3313321.84487544	-47866.231393432	-47333.0258305142	-47866.231393432	-150954.493534788	55222.030747924	67064029.9018611	67072485.5390155	67064029.9018611	39483756.2905805	107543919.191296	46960212.7166197	47192614.6901995	46960212.7166197	19243350.5557054	81074397.9530981	none
sip9	T0.13	t0_16O	t168_16O	-207575.115193924	-198885.357310373	-207575.115193924	-975238.190004487	984285.820153144	-3459.58525323207	-3314.75595517289	-3459.58525323207	-16253.9698334081	16404.7636692191	14586660.853749	14583159.7147026	14586660.853749	13783773.9956918	15380135.1426155	13133635.0473915	13190962.21353	13133635.0473915	7489227.04796828	21747428.0705703	none
sip13	T0.13	t0_16O	t168_16O	1605252.79188672	1655583.35147267	1605252.79188672	-4476924.81846823	8641016.49668328	26754.213198112	27593.0558578778	26754.213198112	-74615.4136411371	144016.941611388	43842185.6334992	43829318.2794382	43842185.6334992	28800323.8381593	69952900.8711767	55078955.1767062	55418401.7397469	55078955.1767062	19080484.4435132	105653637.22795	none
sip15	T0.13	t0_16O	t168_16O	506368.12015205	511068.937824338	506368.12015205	-274559.652767427	1287295.89307153	8439.46866920084	8517.81563040563	8439.46866920084	-4575.99421279045	21454.9315511921	7239658.83715696	7242876.47381802	7239658.83715696	4169486.04096193	11220470.0633659	10784235.6782213	10820359.0385884	10784235.6782213	6790708.70095035	16139207.9098554	none
sip16	T0.13	t0_16O	t168_16O	190671.048962527	238126.417957066	190671.048962527	-5631845.55994256	6013187.65786762	3177.85081604212	3968.77363261777	3177.85081604212	-93864.0926657094	100219.794297794	48797984.3812955	48741686.1298623	48797984.3812955	29542777.8269286	79685038.2080836	50132681.7240332	50408571.0555617	50132681.7240332	18753841.9427106	90884430.3485625	none
sip17	T0.13	t0_16O	t168_16O	-345986.727298582	-330734.416970223	-345986.727298582	-1814455.27320657	1297242.9160898	-5766.44545497636	-5512.24028283705	-5766.44545497636	-30240.9212201095	21620.7152681633	18022866.0425362	17995840.8530447	18022866.0425362	11984872.9628971	23692050.7736988	15600958.9514461	15680699.9342531	15600958.9514461	7088471.25765224	27472374.8036413	none
