taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.4	t0_16O	t24_16O	6385742.5131613	6433767.49854374	6385742.5131613	1564237.87824653	12276719.3962124	106429.041886022	107229.458309062	106429.041886022	26070.6313041089	204611.989936873	3007128.95036258	3001842.49080126	3007128.95036258	2261683.48945041	3888355.7635165	9392871.46352387	9435609.989345	9392871.46352387	4034223.27149266	15622851.0683735	none
sip3	T0.4	t0_16O	t24_16O	3382148.54801713	3439067.3821256	3382148.54801713	-2937203.52682954	9873499.20388323	56369.1424669521	57317.7897020934	56369.1424669521	-48953.3921138257	164558.32006472	8450740.41512547	8444002.69816886	8450740.41512547	6015083.03072826	11044575.2584758	11832888.9631426	11883070.0802945	11832888.9631426	5154835.59736426	19083399.5941567	none
sip7	T0.4	t0_16O	t24_16O	212083.991240348	258486.513077444	212083.991240348	-3953273.22889679	5362154.88956398	3534.73318733913	4308.10855129074	3534.73318733913	-65887.8871482799	89369.2481593997	7282654.95622123	7274157.05639809	7282654.95622123	5996565.35585621	8536159.90832077	7494738.94746158	7532643.56947553	7494738.94746158	3127890.82071519	13084367.9286621	none
sip8	T0.4	t0_16O	t24_16O	4020565.53540226	3986543.73814969	4020565.53540226	-3012121.24419599	10994045.2258263	67009.4255900377	66442.3956358281	67009.4255900377	-50202.0207365998	183234.087097105	15688782.2014077	15717766.4180689	15688782.2014077	8017198.54307907	22721468.981006	19709347.73681	19704310.1562186	19709347.73681	17931339.4999477	22558711.4948771	none
sip9	T0.4	t0_16O	t24_16O	7073411.8005507	7139867.27005108	7073411.8005507	245200.937875276	13612721.0939314	117890.196675845	118997.787834185	117890.196675845	4086.68229792126	226878.684898856	4896494.02663231	4876805.06868134	4896494.02663231	1669122.45849259	7340928.8076457	11969905.827183	12016672.3387324	11969905.827183	4587862.29987857	18533983.8308675	none
sip13	T0.4	t0_16O	t24_16O	50372077.5968384	50382711.9166131	50372077.5968384	37841250.199438	62902904.9942387	839534.626613973	839711.865276885	839534.626613973	630687.503323967	1048381.74990398	10541591.3726499	10534605.3923868	10541591.3726499	5966645.58513277	14563203.1740136	60913668.9694883	60917317.3089999	60913668.9694883	47250293.0362976	70578977.170595	none
sip16	T0.4	t0_16O	t24_16O	54458246.7242426	54493663.8870109	54706180.0624816	43104061.5524879	64318361.9739054	907637.445404043	908227.731450182	911769.667708026	718401.025874798	1071972.69956509	13081484.5612302	13077868.0153228	13081484.5612302	9270361.90480324	16101196.1740294	67539731.2854728	67571531.9023337	67539731.2854728	53908601.3573094	75617735.2968784	none
sip17	T0.4	t0_16O	t24_16O	8752158.96474913	8844423.012257	8961634.11372906	-3482152.65573896	18320593.1228161	145869.316079152	147407.050204283	149360.568562151	-58035.8775956493	305343.218713602	8765467.40453664	8739947.21258351	8765467.40453664	5307068.33060476	13279951.3900071	17517626.3692858	17584370.2248405	17517626.3692858	3104717.18760222	26239450.7647941	none
sip18	T0.4	t0_16O	t24_16O	6129754.02598644	6216525.20417749	6129754.02598644	-7070789.9264786	19536986.0083477	102162.567099774	103608.753402958	102162.567099774	-117846.498774643	325616.433472461	18409072.8161659	18425080.4831775	18409072.8161659	15445071.7940018	21847623.2256668	24538826.8421523	24641605.687355	24538826.8421523	9958390.71923067	39238561.6887761	none
sip19	T0.4	t0_16O	t24_16O	2604797.48709198	2645633.73801685	2604797.48709198	-1903258.77175892	6171545.25936195	43413.291451533	44093.8956336142	43413.291451533	-31720.9795293153	102859.087656032	4253487.85897182	4236287.912249	4253487.85897182	1845007.53655394	7152001.56997574	6858285.3460638	6881921.65026585	6858285.3460638	2811510.72581018	10123206.9430301	none
